Subject,Start Date,Start Time,End Time
Finance: Portfolio Analysis,5/04/2022,10:30 AM,11:50 AM
Lunch A,5/04/2022,11:55 AM,12:35 PM
Woodworking II*,5/04/2022,12:40 PM,1:55 PM
Free Period (D Block),5/04/2022,2:00 PM,3:15 PM
Calculus I*,5/10/2022,8:30 AM,9:45 AM
Community Period,5/10/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,5/10/2022,10:30 AM,11:50 AM
Lunch A,5/10/2022,11:55 AM,12:35 PM
Woodworking II*,5/10/2022,12:40 PM,1:55 PM
Free Period (D Block),5/10/2022,2:00 PM,3:15 PM
Calculus I*,5/16/2022,8:30 AM,9:45 AM
Community Period,5/16/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,5/16/2022,10:30 AM,11:50 AM
Lunch A,5/16/2022,11:55 AM,12:35 PM
Woodworking II*,5/16/2022,12:40 PM,1:55 PM
Free Period (D Block),5/16/2022,2:00 PM,3:15 PM
Calculus I*,5/20/2022,8:30 AM,9:45 AM
Community Period,5/20/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,5/20/2022,10:30 AM,11:50 AM
Lunch A,5/20/2022,11:55 AM,12:35 PM
Woodworking II*,5/20/2022,12:40 PM,1:55 PM
Free Period (D Block),5/20/2022,2:00 PM,3:15 PM
Calculus I*,5/26/2022,8:30 AM,9:45 AM
Community Period,5/26/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,5/26/2022,10:30 AM,11:50 AM
Lunch A,5/26/2022,11:55 AM,12:35 PM
Woodworking II*,5/26/2022,12:40 PM,1:55 PM
Free Period (D Block),5/26/2022,2:00 PM,3:15 PM
Calculus I*,6/02/2022,8:30 AM,9:45 AM
Community Period,6/02/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,6/02/2022,10:30 AM,11:50 AM
Lunch A,6/02/2022,11:55 AM,12:35 PM
Woodworking II*,6/02/2022,12:40 PM,1:55 PM
Free Period (D Block),6/02/2022,2:00 PM,3:15 PM
Calculus I*,6/08/2022,8:30 AM,9:45 AM
Community Period,6/08/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,6/08/2022,10:30 AM,11:50 AM
Lunch A,6/08/2022,11:55 AM,12:35 PM
Woodworking II*,6/08/2022,12:40 PM,1:55 PM
Free Period (D Block),6/08/2022,2:00 PM,3:15 PM
Calculus I*,6/14/2022,8:30 AM,9:45 AM
Community Period,6/14/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,6/14/2022,10:30 AM,11:50 AM
Lunch A,6/14/2022,11:55 AM,12:35 PM
Woodworking II*,6/14/2022,12:40 PM,1:55 PM
Free Period (D Block),6/14/2022,2:00 PM,3:15 PM
Calculus I*,6/20/2022,8:30 AM,9:45 AM
Community Period,6/20/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,6/20/2022,10:30 AM,11:50 AM
Lunch A,6/20/2022,11:55 AM,12:35 PM
Woodworking II*,6/20/2022,12:40 PM,1:55 PM
Free Period (D Block),6/20/2022,2:00 PM,3:15 PM
Calculus I*,6/24/2022,8:30 AM,9:45 AM
Community Period,6/24/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,6/24/2022,10:30 AM,11:50 AM
Lunch A,6/24/2022,11:55 AM,12:35 PM
Woodworking II*,6/24/2022,12:40 PM,1:55 PM
Free Period (D Block),6/24/2022,2:00 PM,3:15 PM
Calculus I*,6/30/2022,8:30 AM,9:45 AM
Community Period,6/30/2022,9:50 AM,10:30 AM
Finance: Portfolio Analysis,6/30/2022,10:30 AM,11:50 AM
Lunch A,6/30/2022,11:55 AM,12:35 PM
Woodworking II*,6/30/2022,12:40 PM,1:55 PM
Free Period (D Block),6/30/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,9/10/2021,8:30 AM,9:45 AM
Community Period,9/10/2021,9:50 AM,10:30 AM
Woodworking II*,9/10/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),9/10/2021,11:55 AM,1:55 PM
Calculus I*,9/10/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,9/17/2021,8:30 AM,9:45 AM
Community Period,9/17/2021,9:50 AM,10:30 AM
Woodworking II*,9/17/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),9/17/2021,11:55 AM,1:55 PM
Calculus I*,9/17/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,9/23/2021,9:00 AM,10:15 AM
Break,9/23/2021,10:15 AM,10:30 AM
Woodworking II*,9/23/2021,10:35 AM,11:50 AM
Lunch / Free Period (D Block),9/23/2021,11:55 AM,1:55 PM
Calculus I*,9/23/2021,2:00 PM,3:14 PM
Finance: Portfolio Analysis,9/29/2021,8:30 AM,9:45 AM
Community Period,9/29/2021,9:50 AM,10:30 AM
Woodworking II*,9/29/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),9/29/2021,11:55 AM,1:55 PM
Calculus I*,9/29/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,10/05/2021,8:30 AM,9:45 AM
Community Period,10/05/2021,9:50 AM,10:30 AM
Woodworking II*,10/05/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),10/05/2021,11:55 AM,1:55 PM
Calculus I*,10/05/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,10/11/2021,8:30 AM,9:45 AM
Community Period,10/11/2021,9:50 AM,10:30 AM
Woodworking II*,10/11/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),10/11/2021,11:55 AM,1:55 PM
Calculus I*,10/11/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,10/15/2021,8:30 AM,9:45 AM
Community Period,10/15/2021,9:50 AM,10:30 AM
Woodworking II*,10/15/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),10/15/2021,11:55 AM,1:55 PM
Calculus I*,10/15/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,10/21/2021,9:00 AM,10:15 AM
Break,10/21/2021,10:15 AM,10:30 AM
Woodworking II*,10/21/2021,10:35 AM,11:50 AM
Lunch / Free Period (D Block),10/21/2021,11:55 AM,1:55 PM
Calculus I*,10/21/2021,2:00 PM,3:14 PM
Finance: Portfolio Analysis,10/28/2021,9:00 AM,10:15 AM
Break,10/28/2021,10:15 AM,10:30 AM
Woodworking II*,10/28/2021,10:35 AM,11:50 AM
Lunch / Free Period (D Block),10/28/2021,11:55 AM,1:55 PM
Calculus I*,10/28/2021,2:00 PM,3:14 PM
Finance: Portfolio Analysis,11/03/2021,8:30 AM,9:45 AM
Community Period,11/03/2021,9:50 AM,10:30 AM
Woodworking II*,11/03/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),11/03/2021,11:55 AM,1:55 PM
Calculus I*,11/03/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,11/09/2021,8:30 AM,9:45 AM
Community Period,11/09/2021,9:50 AM,10:30 AM
Woodworking II*,11/09/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),11/09/2021,11:55 AM,1:55 PM
Calculus I*,11/09/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,11/16/2021,8:30 AM,9:45 AM
Community Period,11/16/2021,9:50 AM,10:30 AM
Woodworking II*,11/16/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),11/16/2021,11:55 AM,1:55 PM
Calculus I*,11/16/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,11/22/2021,8:30 AM,9:45 AM
Community Period,11/22/2021,9:50 AM,10:30 AM
Woodworking II*,11/22/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),11/22/2021,11:55 AM,1:55 PM
Calculus I*,11/22/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,12/01/2021,8:30 AM,9:45 AM
Community Period,12/01/2021,9:50 AM,10:30 AM
Woodworking II*,12/01/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),12/01/2021,11:55 AM,1:55 PM
Calculus I*,12/01/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,12/07/2021,8:30 AM,9:45 AM
Community Period,12/07/2021,9:50 AM,10:30 AM
Woodworking II*,12/07/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),12/07/2021,11:55 AM,1:55 PM
Calculus I*,12/07/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,12/13/2021,8:30 AM,9:45 AM
Community Period,12/13/2021,9:50 AM,10:30 AM
Woodworking II*,12/13/2021,10:30 AM,11:50 AM
Lunch / Free Period (D Block),12/13/2021,11:55 AM,1:55 PM
Calculus I*,12/13/2021,2:00 PM,3:15 PM
Finance: Portfolio Analysis,1/03/2022,8:30 AM,9:45 AM
Community Period,1/03/2022,9:50 AM,10:30 AM
Woodworking II*,1/03/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),1/03/2022,11:55 AM,1:55 PM
Calculus I*,1/03/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,1/07/2022,8:30 AM,9:45 AM
Community Period,1/07/2022,9:50 AM,10:30 AM
Woodworking II*,1/07/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),1/07/2022,11:55 AM,1:55 PM
Calculus I*,1/07/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,1/13/2022,8:30 AM,9:45 AM
Community Period,1/13/2022,9:50 AM,10:30 AM
Woodworking II*,1/13/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),1/13/2022,11:55 AM,1:55 PM
Calculus I*,1/13/2022,2:00 PM,3:15 PM
Finance: Portfolio Analysis,1/20/2022,8:30 AM,9:45 AM
Community Period,1/20/2022,9:50 AM,10:30 AM
Woodworking II*,1/20/2022,10:30 AM,11:50 AM
Lunch / Free Period (D Block),1/20/2022,11:55 AM,1:55 PM
Calculus I*,1/20/2022,2:00 PM,3:15 PM
